Points,O.Points,Assists,O.Assists,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,OffensiveRebounds,O.OffensiveRebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,TwoPointersMade,TwoPointersAttempted,O.TwoPointersMade,O.TwoPointersAttempted
96,102,16,24,2,5,25,39,36,39,38,43,27,33,23,10,8,7,24,7,5,1,15,19,27,71,33,70
83,87,19,17,4,6,32,31,23,20,19,33,15,22,11,11,5,8,12,9,2,3,18,15,31,65,28,60
107,94,19,19,13,2,30,25,16,26,34,18,30,10,11,10,7,3,18,10,7,6,10,12,28,56,33,72
92,101,16,26,5,2,31,31,24,27,47,35,30,25,19,8,14,7,16,22,4,8,14,16,25,61,26,52
91,93,18,23,1,6,33,28,18,19,21,13,18,8,12,15,4,7,17,20,5,7,12,8,29,62,32,68
99,83,21,19,3,2,29,31,26,21,17,26,14,19,18,11,10,6,22,11,7,2,13,17,32,66,29,63
113,111,21,17,5,6,32,26,22,29,35,27,27,21,14,11,6,5,11,13,6,6,15,10,34,71,36,75
85,76,28,20,1,3,27,35,23,18,21,26,11,17,10,4,13,4,23,17,6,7,11,18,28,55,19,46
60,84,15,14,9,10,30,37,20,19,19,22,11,15,8,11,4,10,8,18,3,9,20,17,20,61,21,56
110,92,29,21,3,4,34,30,18,24,23,13,20,9,8,16,6,12,14,17,10,5,18,16,30,66,34,79
100,85,16,17,3,5,37,28,25,25,31,34,25,22,9,10,6,13,16,12,5,3,18,15,30,62,27,64
107,83,17,16,3,10,39,26,21,20,23,26,19,16,21,4,5,5,12,8,4,3,12,14,38,82,29,64
90,84,15,14,5,5,40,29,18,26,25,18,14,13,11,17,3,9,10,14,4,5,16,10,32,66,28,80
84,93,20,22,4,8,36,40,18,22,26,17,18,10,9,10,7,6,12,7,4,3,10,12,27,67,37,76
112,105,20,20,4,5,37,30,24,34,47,28,40,25,10,13,8,8,21,14,6,6,14,15,27,60,31,77
110,103,24,21,10,7,44,35,24,27,37,35,29,27,15,5,3,6,12,13,3,4,13,8,36,75,32,75
74,96,16,24,2,3,27,34,16,17,20,14,14,10,10,7,5,7,7,17,0,6,12,11,30,68,34,58
109,101,17,19,3,5,29,25,26,40,57,25,45,18,9,8,9,7,9,25,4,13,15,19,26,56,22,51
83,93,20,24,3,3,28,31,18,16,17,20,13,17,16,6,4,5,7,20,0,10,9,10,35,79,23,53
95,102,23,22,12,7,35,34,23,16,20,29,14,24,12,12,6,7,11,9,5,6,10,9,33,76,30,77
66,92,16,20,4,2,26,34,23,19,16,15,15,11,9,7,8,8,13,13,1,7,18,18,24,59,30,60
109,91,25,11,7,5,39,33,21,18,17,24,14,15,10,8,9,13,23,16,9,4,16,18,34,69,32,68
