Date,Team,O.Team,Points,O.Points,Assists,O.Assists,BiggestLead,O.BiggestLead,Blocks,O.Blocks,DefensiveRebounds,O.DefensiveRebounds,FastBreakPoints,O.FastBreakPoints,FieldGoalsAttempted,O.FieldGoalsAttempted,FieldGoalsMade,O.FieldGoalsMade,Fouls,O.Fouls,FreeThrowsAttempted,O.FreeThrowsAttempted,FreeThrowsMade,O.FreeThrowsMade,MarginAtTheHalf,O.MarginAtTheHalf,OffensiveRebounds,O.OffensiveRebounds,Rebounds,O.Rebounds,Steals,O.Steals,ThreePointersAttempted,O.ThreePointersAttempted,ThreePointersMade,O.ThreePointersMade,Turnovers,O.Turnovers,Playoffs
20051114,Warriors,Bulls,100,82,20,24,23,3,6,2,36,27,15,8,75,95,35,32,25,29,27,19,22,10,13,-13,11,19,47,46,8,6,22,29,8,8,19,18,0
20051115,Cavaliers,Wizards,114,99,26,19,18,9,7,4,34,29,27,22,85,78,42,33,25,21,27,41,23,29,3,-3,12,11,46,40,5,7,14,17,7,4,13,9,0
20051115,Clippers,Bucks,109,85,22,12,31,0,7,6,27,24,13,10,73,77,35,30,25,28,37,27,34,22,9,-9,11,11,38,35,9,10,12,7,5,3,17,17,0
20051115,Heat,Pelicans,109,102,23,21,9,7,6,2,32,36,11,23,84,93,37,41,20,23,28,25,24,16,1,-1,8,18,40,54,6,7,26,15,11,4,11,13,0
20051115,Kings,Jazz,119,83,28,19,36,0,8,2,30,22,21,3,75,79,41,31,23,26,37,26,31,18,12,-12,11,15,41,37,11,4,14,11,6,3,11,17,0
20051115,Magic,Hornets,85,77,11,20,11,6,6,2,34,27,9,13,72,79,30,30,16,28,35,17,23,14,1,-1,16,10,50,37,6,7,5,10,2,3,12,10,0
20051115,Mavericks,Nuggets,83,80,21,16,5,19,11,8,35,27,12,17,74,84,33,32,23,22,16,18,13,16,-1,1,12,14,47,41,8,12,12,8,4,0,21,14,0
20051115,Nets,Supersonics,109,99,22,19,14,11,2,4,33,26,11,14,73,75,35,32,20,30,41,29,34,25,0,0,14,6,47,32,8,8,15,29,5,10,13,11,0
20051115,Pistons,Celtics,115,100,28,26,15,13,4,2,30,31,20,19,91,81,46,43,18,24,23,11,18,9,-10,10,12,6,42,37,9,2,17,10,5,5,10,14,0
20051115,Seventysixers,Raptors,104,92,27,14,19,1,6,4,32,32,11,12,87,86,40,36,18,24,29,23,23,16,8,-8,14,16,46,48,9,3,5,14,1,4,10,18,0
20051115,Spurs,Hawks,103,79,22,8,24,15,6,8,24,21,9,6,84,73,44,30,20,19,19,24,12,16,0,0,16,18,40,39,11,3,9,6,3,3,9,18,0
20051115,Timberwolves,Rockets,89,94,23,14,10,6,4,3,22,30,11,9,71,69,30,32,29,24,35,36,26,29,8,-8,10,10,32,40,7,6,20,10,3,1,10,12,0
20051116,Hornets,Pacers,122,90,23,21,33,10,5,5,30,25,24,1,78,64,41,32,25,23,32,36,29,20,10,-10,5,7,35,32,17,4,18,16,11,6,10,26,0
20051116,Celtics,Supersonics,100,113,26,31,7,24,3,1,26,27,12,11,77,87,40,44,22,23,22,24,14,20,-18,18,11,17,37,44,4,9,14,16,6,5,15,10,0
20051116,Pelicans,Nuggets,81,91,17,18,7,15,1,4,32,38,12,32,79,73,29,35,27,28,34,27,23,20,-5,5,14,6,46,44,8,13,13,6,0,1,20,16,0
20051116,Lakers,Knicks,97,92,21,29,15,7,9,9,28,19,9,13,85,89,38,40,22,18,25,16,19,10,2,-2,16,19,44,38,7,7,12,9,2,2,15,13,0
20051116,Raptors,Seventysixers,115,121,18,25,0,20,0,3,19,23,10,16,83,79,45,43,29,23,25,33,20,26,-10,10,10,11,29,34,8,9,14,16,5,9,16,16,0
20051116,Suns,Grizzlies,103,115,30,21,7,18,6,1,28,33,29,9,84,84,40,44,20,14,11,24,11,17,-4,4,9,9,37,42,6,8,30,24,12,10,14,12,0
20051116,Trailblazers,Bulls,96,93,15,20,9,9,9,1,26,23,10,2,66,92,34,36,17,27,37,15,26,15,9,-9,6,22,32,45,9,5,6,20,2,6,13,12,0
20051116,Warriors,Bucks,87,90,21,23,4,18,10,1,33,41,28,19,79,84,29,33,24,24,29,25,20,19,-3,3,9,17,42,58,10,5,29,10,9,5,11,15,0
20051117,Mavericks,Hawks,87,78,14,14,11,9,11,4,30,28,17,6,81,76,32,29,28,21,23,28,20,19,7,-7,16,15,46,43,8,4,10,9,3,1,16,16,0
20051117,Spurs,Rockets,86,80,23,12,20,0,5,2,26,31,10,1,76,72,35,28,19,22,18,22,13,17,13,-13,9,9,35,40,8,6,11,19,3,7,12,16,0
20051117,Timberwolves,Wizards,109,98,29,14,15,5,5,5,35,24,10,9,86,80,46,37,19,16,12,19,10,16,10,-10,10,7,45,31,6,7,13,13,7,8,13,11,0
20051118,Cavaliers,Magic,102,84,20,18,28,2,2,9,29,29,11,8,90,69,38,30,19,22,29,27,17,20,14,-14,25,11,54,40,10,5,22,8,9,4,12,16,0
20051118,Celtics,Raptors,100,93,22,19,8,10,4,2,36,24,8,3,74,84,36,33,26,24,27,26,22,18,-4,4,7,13,43,37,6,10,18,21,6,9,15,12,0
